(title "Acoustic Pressure at receiver-15 (0.17101 0.984808 0.0301537)")
(labels "Time" "Acoustic Pressure")

((xy/key/label "Surface")
1.6214472 -0.0054288004
1.6214871 -0.0054334151
1.6215271 -0.0054163435
1.621567 -0.0053094178
1.6216069 -0.0052101798
1.6216469 -0.0051426156
1.6216868 -0.0051777149
1.6217268 -0.0052202605
1.6217667 -0.0052008256
1.6218066 -0.0052011972
1.6218466 -0.0051237596
1.6218865 -0.0050201328
1.6219264 -0.0049466058
1.6219664 -0.0049737417
1.6220063 -0.0050190911
1.6220462 -0.0050241989
1.6220862 -0.0050908206
1.6221261 -0.0050919065
1.622166 -0.0051450245
1.622206 -0.0051881303
1.6222459 -0.0052435836
1.6222858 -0.0052820388
1.6223258 -0.0053349365
