Frequency_Hz,SPL_Experiment_dB,SPL_Simulation_Baseline_dB,SPL_Simulation_Final_dB,Diff_Final_minus_Exp_dB,Applied_Correction_dB
4.062500000000000000e+02,1.049265003000000007e+01,7.706684739012204410e+00,1.234295762377911920e+01,1.850307593779119131e+00,4.636272884766914792e+00
4.068750000000000000e+02,1.304987717000000025e+01,7.689471393712358882e+00,1.234655799004753618e+01,-7.033191799524640686e-01,4.657086596335177298e+00
4.075000000000000000e+02,1.383898830000000046e+01,7.672258048412514242e+00,1.235092678208616768e+01,-1.488061517913832787e+00,4.678668733673653435e+00
4.081250000000000000e+02,1.307308674000000082e+01,7.655044703112668714e+00,1.235605914091460278e+01,-7.170275990853980375e-01,4.701014437801934065e+00
4.087500000000000000e+02,1.414703751000000054e+01,7.637831357812824074e+00,1.236195157335753692e+01,-1.785085936642463622e+00,4.724120215544712842e+00
4.093750000000000000e+02,1.421877480000000027e+01,7.620618012512978545e+00,1.236858872594899417e+01,-1.850186074051006102e+00,4.747970713436015622e+00
4.100000000000000000e+02,1.189363861000000000e+01,7.603404667213133017e+00,1.237597077033040271e+01,4.823321603304027150e-01,4.772566103117269698e+00
4.106250000000000000e+02,1.085977650000000061e+01,7.586191321913288377e+00,1.238405573795321502e+01,1.524279237953214405e+00,4.797864416039927526e+00
4.112500000000000000e+02,1.199069594999999921e+01,7.568977976613442848e+00,1.239282516185096839e+01,4.021292118509691704e-01,4.823847185237525537e+00
4.118750000000000000e+02,1.338113498999999962e+01,7.551764631313597320e+00,1.240228168873692383e+01,-9.788533012630757923e-01,4.850517057423326506e+00
4.125000000000000000e+02,1.299079895000000029e+01,7.534551286013752680e+00,1.241234265576515128e+01,-5.784562942348490111e-01,4.877791369751399486e+00
4.131250000000000000e+02,1.186620998000000071e+01,7.517337940713907152e+00,1.242295344319971839e+01,5.567434631997176808e-01,4.905615502485811241e+00
4.137500000000000000e+02,1.180080223000000039e+01,7.500124595414062512e+00,1.243408983161356751e+01,6.332876016135671193e-01,4.933965236199505000e+00
4.143750000000000000e+02,1.230296421000000073e+01,7.482911250114216983e+00,1.244565758369595798e+01,1.426933736959572485e-01,4.962746333581740110e+00
4.150000000000000000e+02,1.135349846000000085e+01,7.465697904814371455e+00,1.245757441183756953e+01,1.104075951837568681e+00,4.991876507023198073e+00
4.156250000000000000e+02,1.049265003000000007e+01,7.448484559514526815e+00,1.246976250971713540e+01,1.977112479717135329e+00,5.021277950202608586e+00
4.162500000000000000e+02,1.295915031000000006e+01,7.431271214214681287e+00,1.248211125262312038e+01,-4.770390573768796827e-01,5.050840038408438204e+00
4.168750000000000000e+02,1.249285697999999911e+01,7.414057868914835758e+00,1.249453154409927969e+01,1.674564099280573259e-03,5.080473675184443927e+00
4.175000000000000000e+02,1.008121490000000087e+01,7.396844523614991118e+00,1.250690702644529395e+01,2.425692126445293084e+00,5.110062502830303721e+00
4.181250000000000000e+02,1.080280875999999957e+01,7.379631178315145590e+00,1.251911411018070375e+01,1.716305350180704181e+00,5.139482931865558157e+00
4.187500000000000000e+02,1.234094237999999955e+01,7.362417833015300062e+00,1.253101997933157286e+01,1.900775993315733103e-01,5.168602146316272794e+00
4.193750000000000000e+02,1.282622527999999917e+01,7.345204487715455421e+00,1.254248431061889235e+01,-2.837409693811068223e-01,5.197279822903436930e+00
4.200000000000000000e+02,1.143156624000000043e+01,7.327991142415609893e+00,1.255337501796794442e+01,1.121808777967943982e+00,5.225383875552333635e+00
4.206250000000000000e+02,1.184722041999999931e+01,7.310777797115765253e+00,1.256351089774865670e+01,7.162904777486573948e-01,5.252733100632891450e+00
4.212500000000000000e+02,1.293383120999999925e+01,7.293564451815919725e+00,1.257273867172586179e+01,-3.610925382741374534e-01,5.279174219909942067e+00
4.218750000000000000e+02,1.278613662999999967e+01,7.276351106516074196e+00,1.258091881709069071e+01,-2.052178129093089609e-01,5.304567710574615624e+00
